Số tuyến,Lộ trình đi,Lộ trình về,Khoảng cách,Giờ hoạt động,Thời gian chuyến,Giãn cách,Loại xe,Đơn vị vận hành
1,"Bến ThànhCông trường Mê Linh, Quận 1","Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","8,74 km",05:00 - 20:15,35 phút,10 – 14 phút,Samco City Hi-Class I.47Samco City Hi-Class I.50,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)"
3,"Bến ThànhBến xe buýt Sài Gòn, Quận 1","Thạnh XuânThửa đất số 413, tờ bản đồ số 04, Thạnh Xuân 52, phường Thạnh Xuân, Quận 12.","20,6 km",04:00 - 20:45,55 – 65 phút,7 – 12 phút,Samco City I.47,HTX Vận tải 19/5
4,"Bến xe An SươngQuốc lộ 22, Huyện Hóc Môn","16,42 km",05:00 - 20:15,50 – 70 phút,8 – 10 phút,Thaco Garden 79CTSamco City Hi-Class I.47Samco City Hi-Class I.50,"Công ty TNHH Du lịch, Dịch vụ Xây dựng Bảo Yến (Bao Yen Group)",Tiền mặt
6,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Trường Đại học Nông LâmQuốc lộ 1A, Thành phố Thủ Đức","26,5 km",04:55 - 21:00,70 phút,10 – 15 phút,Samco City H.68 CNGSamco City Hi-Class H.76 CNG,
7,"Gò VấpBãi hậu cần số 1Phan Văn Trị, Quận Gò Vấp","15,5 km",05:00 - 19:30,60 – 65 phút,12 – 18 phút,Samco City I.47,,Tiền mặtThẻ ngân hàng
8,"Bến xe buýtQuận 8Quốc lộ 50, Quận 8","Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức","32,7 km",04:40 - 20:30,80 – 90 phút,3 – 10 phút,Samco City H.68 CNG,
9,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Hưng LongBãi xe Hưng LongĐoàn Nguyễn Tuấn, Huyện Bình Chánh",25 km,03:45 - 19:30,70 phút,8 – 15 phút,Golden Dragon B55,
10,"Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức","Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","30,85 km",04:45 - 21:00,80 phút,15 – 25 phút,Samco City H.68 CNG,
13,"Bến ThànhBến xe buýt Sài Gòn, Quận 1","Bến xeCủ ChiQuốc lộ 22, huyện Củ Chi","36,3 km",04:00 - 19:45,15 – 20 phút,Samco City I.40,HTX Vận tải 19/5,Tiền mặt
14,"Bến xe Miền ĐôngĐinh Bộ Lĩnh, Quận Bình Thạnh","Bến xe Miền TâyKinh Dương Vương, Quận Bình Tân","16,4 km",04:00 - 20:00,60 phút,8 – 12 phút,Samco City I.47,
15,"Chợ Phú ĐịnhBãi xe Chợ Phú ĐịnhĐường 44 Trương Đình Hội (Phạm Đức Sơn), Quận 8","Đầm SenBến xe buýt Đầm SenHòa Bình, Quận 11","17,1 km",05:00 - 19:00,50 phút,20 – 22 phút,Bahai HC B40 (2013),
16,"Chợ LớnBến xe buýt Chợ Lớn A, Quận 5","Tân PhúBến xe buýt Tân Phú, Trường Chinh, Quận Tân Phú","16,8 km",05:00 - 19:00,55 phút,12 – 20 phút,Golden Dragon B55,
18,"Bến ThànhBến xe buýt Sài Gòn, Quận 1","Chợ Hiệp ThànhBến xe buýt Hiệp ThànhHiệp Thành 17, Quận 12","22,73 km",04:30 - 20:30,75 phút,10 – 20 phút,1-5auto Transinco B60KL,HTX Vận tải 19/5
19,"Đại học Quốc giaBến xe buýt khu A, Đại học Quốc giaThành phố Thủ Đức","27,43 km",05:00 - 20:15,80 phút,8 – 12 phút,Foton AUV B75 CNG,HTX Vận tải 19/5,Tiền mặt
20,"Nhà BèBến xe buýt Bình KhánhHuỳnh Tấn Phát, Huyện Nhà Bè","16,93 km",04:20 - 21:15,50 phút,5 – 17 phút,Samco City D.65,Công ty Cổ phần Vận tải 26,Tiền mặtThẻ ngân hàng
22,"Bến xe buýtQuận 8Quốc lộ 50, Quận 8","Khu công nghiệp Lê Minh XuânTrần Đại Nghĩa, Huyện Bình Chánh","22,75 km",04:20 - 19:00,65 phút,12 – 26 phút,Samco City I.47,
