ID,LOCATION,CITY,TYPE,RATING,INTRODUCTION
AC001,The Hammock Hotel Fine Arts Museum,Thành phố Hồ Chí Minh,Accomodation,4.5,
AC002,New World Saigon Hotel,Thành phố Hồ Chí Minh,Accomodation,4.6,
AC003,Brand New Cozy Home at the heart of SG,Thành phố Hồ Chí Minh,Accomodation,4.8,
AC004,Loan Vo Hostel,Thành phố Hồ Chí Minh,Accomodation,4.9,
AC005,Rex Hotel,Thành phố Hồ Chí Minh,Accomodation,4.4,
EN001,Khu Du Lịch Suối Tiên,Thành phố Hồ Chí Minh,Entertainment,4.2,
EN002,Đầm Sen,Thành phố Hồ Chí Minh,Entertainment,4.3,
EN003,Amazing Bay,Thành phố Hồ Chí Minh,Entertainment,4.4,
EN004,Phố Đi Bộ Nguyễn Huệ,Thành phố Hồ Chí Minh,Entertainment,4.6,
EN005,Landmark 81,Thành phố Hồ Chí Minh,Entertainment,4.6,
EN006,Công Viên 23/9,Thành phố Hồ Chí Minh,Entertainment,4.3,
EN007,Tour Sông Sài Gòn,Thành phố Hồ Chí Minh,Entertainment,5.0,
FB001,Phở 2000,Thành phố Hồ Chí Minh,F&B,3.9,
FB002,Nhà hàng Ngon,Thành phố Hồ Chí Minh,F&B,4.0,
FB003,Bánh mì Huỳnh Hoa,Thành phố Hồ Chí Minh,F&B,4.1,
FB004,Bánh mì Bùi Thị Xuân,Thành phố Hồ Chí Minh,F&B,4.2,
FB004,The Workshop Coffee,Thành phố Hồ Chí Minh,F&B,4.5,
FB005,Café de Saigon1982,Thành phố Hồ Chí Minh,F&B,5.0,
FB006,Bún Riêu Gánh,Thành phố Hồ Chí Minh,F&B,4.2,
FB007,Bún Riêu Nguyễn Cảnh Chân,Thành phố Hồ Chí Minh,F&B,3.9,
FB008,Cháo Ếch Singapore Tân Định,Thành phố Hồ Chí Minh,F&B,4.1,
LC001,Ho Chi Minh City Post Office,Thành phố Hồ Chí Minh,Local,4.2,
LC002,Công Viên Tao Đàn,Thành phố Hồ Chí Minh,Local,4.5,
LC003,Đường Sách,Thành phố Hồ Chí Minh,Local,4.6,
LC004,Nhà Thờ Đức Bà,Thành phố Hồ Chí Minh,Local,4.4,
LC005,Bến Nhà Rồng,Thành phố Hồ Chí Minh,Local,4.4,
LC006,Dinh Độc Lập,Thành phố Hồ Chí Minh,Local,4.5,
LC007,Thảo Cầm Viên,Thành phố Hồ Chí Minh,Local,4.3,
LC008,Bảo Tàng Lịch Sử,Thành phố Hồ Chí Minh,Local,4.4,
LC009,Địa Đạo Củ Chi,Thành phố Hồ Chí Minh,Local,4.6,
MA001,Chợ Bến Thành,Thành phố Hồ Chí Minh,Market,4.0,
MA002,Aeon Mall,Thành phố Hồ Chí Minh,Market,4.7,
